distance,LightGBMXT_BAG_L1,-1.9317459962681716
distance,WeightedEnsemble_L2,-2.012834591088306
distance,RandomForestMSE_BAG_L1,-2.0435871055540162
distance,KNeighborsUnif_BAG_L1,-2.068127520966678
distance,KNeighborsDist_BAG_L1,-2.0702223317876207
distance,RandomForestMSE_BAG_L2,-2.1682075731292874
distance,WeightedEnsemble_L3,-2.1682075731292874
lineofsight,WeightedEnsemble_L2,-0.3326598468735174
lineofsight,RandomForestMSE_BAG_L1,-0.3626238287827494
lineofsight,LightGBMXT_BAG_L1,-0.4148216575804168
lineofsight,KNeighborsDist_BAG_L1,-0.42681015598020655
lineofsight,KNeighborsUnif_BAG_L1,-0.42719130299526153
lineofsight,RandomForestMSE_BAG_L2,-0.4547400823657184
lineofsight,WeightedEnsemble_L3,-0.4547400823657184
diff-room,LightGBMXT_BAG_L1,-0.6552917134687345
diff-room,WeightedEnsemble_L3,-0.6580204465773782
diff-room,RandomForestMSE_BAG_L1,-0.678784966187951
diff-room,WeightedEnsemble_L2,-0.6795955065439653
diff-room,KNeighborsDist_BAG_L1,-0.7915381604630692
diff-room,KNeighborsUnif_BAG_L1,-0.7938188993428898
